Altium Designer Pick and Place Locations
C:\Users\vojislav\OneDrive\IRNAS-Common\Electronics-Development\Agrelaeco\lora feather_ver0.3-debugging\lora feather\PCB_Project\Project Outputs for Lora_feather\Generates pick and place files panel\Pick Place for Lora_feather_panel.csv

========================================================================================================================
File Design Information:

Date:       19/09/18
Time:       23:15
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Designator4_3_2","Comment","BottomLayer","FIDUCIAL","323.5000","253.0000","270",""
"Designator3_3_2","Comment","TopLayer","FIDUCIAL","323.5000","248.0000","90",""
"Designator6_2","Comment","BottomLayer","HOLE","323.5000","260.5000","270",""
"Designator4_3_1","Comment","BottomLayer","FIDUCIAL","195.5000","253.0000","270",""
"Designator3_3_1","Comment","TopLayer","FIDUCIAL","195.5000","248.0000","90",""
"Designator6_1","Comment","BottomLayer","HOLE","195.5000","260.5000","270",""
"Designator4_3","Comment","BottomLayer","FIDUCIAL","195.5000","82.0000","90",""
"Designator3_3","Comment","TopLayer","FIDUCIAL","195.5000","87.0000","270",""
"Designator6","Comment","BottomLayer","HOLE","195.5000","74.5000","90",""
"P8","Solder jumper","TopLayer","SOLDER_JUMPER","304.6890","124.1660","90",""
"P7","Solder jumper","TopLayer","SOLDER_JUMPER","311.4890","111.6660","90",""
"R8","1K","TopLayer","0603RES","300.5860","122.1155","90","Thick Film Resistors - SMD CRGH0603 1% 1K0 0.2W"
"U3","TPS62125DSGR","TopLayer","WSON-Voltage_regulator","302.3560","113.6210","90","Voltage Regulators - Switching Regulators 3V-17V, 300mA Buck Converter"
"T9","Test_pad","BottomLayer","Test_Pad","311.4160","111.2710","270","Test point"
"T8","Test_pad","BottomLayer","Test_Pad","308.8760","109.9910","270","Test point"
"T7","Test_pad","BottomLayer","Test_Pad","307.9660","112.6510","270","Test point"
"R19","210K","TopLayer","0603RES","305.1315","109.4110","180","Thick Film Resistors - SMD 1/10watt 210Kohms 1%"
"R18","1M1","TopLayer","0603RES","305.1405","111.3010","360",""
"R17","0R","TopLayer","0603RES","306.4860","114.4265","270","RES SMD 0.0OHM JUMPER 1/10W 0603"
"L2","10uH","TopLayer","INDUCTOR_3.0X2.5","302.8960","118.1710","360","COILCRAFT   LPS3314-103MRB   INDUCTOR, SHLD, 10UH, 20%, 0.65A, SMD"
"C18","22uF","TopLayer","0603Cap","304.6460","114.5609","90","MURATA         ZRB18AR60J226ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 22 F, 6.3 V,  20%, X5R, ZRA Series"
"C16","10uF","TopLayer","0603Cap","299.9060","112.7109","90","MURATA         ZRB18AR61E106ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 F, 25 V,  20%, X5R, ZRA Series"
"T6","Test_pad","BottomLayer","TEST_PAD","311.8297","109.2710","270","Test point"
"T5","Test_pad","BottomLayer","TEST_PAD","304.8660","117.9210","270","Test point"
"T4","Test_pad","BottomLayer","TEST_PAD","307.7760","126.0410","270","Test point"
"T3","Test_pad","BottomLayer","TEST_PAD","305.5660","121.7210","270","Test point"
"T2","Test_pad","BottomLayer","TEST_PAD","305.6860","123.7710","270","Test point"
"T1","Test_pad","BottomLayer","TEST_PAD","307.0760","128.0910","270","Test point"
"R13","10K","TopLayer","0603RES","300.3860","141.0455","90","TE CONNECTIVITY / NEOHM         CPF0603F10KC1             SMD Chip Resistor, Thin Film, 10 kohm, 50 V, 0603 [1608 Metric], 63 mW,  1%, CPF Series"
"R12","10K","TopLayer","0603RES","301.9960","140.9555","90","TE CONNECTIVITY / NEOHM         CPF0603F10KC1             SMD Chip Resistor, Thin Film, 10 kohm, 50 V, 0603 [1608 Metric], 63 mW,  1%, CPF Series"
"R2","0R","TopLayer","0603RES","308.3660","102.3355","90","RES SMD 0.0OHM JUMPER 1/10W 0603"
"C2","10uF","TopLayer","0603CAP","310.0061","92.8710","180","MURATA         ZRB18AR61E106ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 F, 25 V,  20%, X5R, ZRA Series"
"C3","10uF","TopLayer","0603CAP","308.3359","98.5010","360","MURATA         ZRB18AR61E106ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 F, 25 V,  20%, X5R, ZRA Series"
"C4","10pF cap","TopLayer","0603CAP","299.6060","109.0409","90","Cap Ceramic 10pF 50V X7R 10% SMD 0603 125C T/R"
"C5","10uF","TopLayer","0603CAP","312.2161","110.2710","180","MURATA         ZRB18AR61E106ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 F, 25 V,  20%, X5R, ZRA Series"
"C6","0.1uF","TopLayer","0603CAP","308.0760","111.1609","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT .1uF 50Volts X7R +/-10% 0603 STD"
"C7","0.1uF","TopLayer","0603CAP","309.9160","111.1709","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT .1uF 50Volts X7R +/-10% 0603 STD"
"C8","10uF","TopLayer","0603CAP","304.3160","121.8711","270","MURATA         ZRB18AR61E106ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 F, 25 V,  20%, X5R, ZRA Series"
"C9","1uF","TopLayer","0603CAP","302.5160","121.8711","270","1µF 50V Ceramic Capacitor X5R 0603 (1608 Metric) 0.063" L x 0.031" W (1.60mm x 0.80mm)"
"C10","0.1uF","TopLayer","0603CAP","306.1160","122.1709","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT .1uF 50Volts X7R +/-10% 0603 STD"
"C11","1uF","TopLayer","0603CAP","305.9260","140.9211","270","1µF 50V Ceramic Capacitor X5R 0603 (1608 Metric) 0.063" L x 0.031" W (1.60mm x 0.80mm)"
"C12","100pF","TopLayer","0402CAP","310.7460","141.8560","90","MULTICOMP         MC0402B101K500CT            SMD Multilayer Ceramic Capacitor, MC Series, 100 pF,  10%, X7R, 50 V, 0402 [1005 Metric]"
"C13","NF","TopLayer","0402CAP","309.9310","139.4710","360",""
"C14","NF","TopLayer","0402CAP","309.8710","144.2610","360",""
"C15","0.1uF","TopLayer","0603CAP","312.0661","103.0310","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT .1uF 50Volts X7R +/-10% 0603 STD"
"C17","10uF","TopLayer","0603CAP","310.9661","108.4610","180","MURATA         ZRB18AR61E106ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 F, 25 V,  20%, X5R, ZRA Series"
"CON1","antena connector","TopLayer","UFL_SMD_CONNECTOR","313.1530","144.3310","90","CONN UMC JACK STR 50 OHM SMD"
"L1","15uH","TopLayer","INDUCTOR_3.0X2.5","305.1560","94.6410","90","Fixed Inductors 15uH 0.28ohms 0.56A"
"P1","Header 12","TopLayer","HDR1X12","296.9660","122.6910","90","Header, 12-Pin"
"P2","Header 16","TopLayer","HDR1X16","317.1850","117.6110","270","Header, 16-Pin"
"P3","Header 8","TopLayer","HDR1X8","307.1060","89.1110","180","Header, 8-Pin"
"P4","Header 8","TopLayer","HDR1X8","306.8460","148.3210","180","Header, 8-Pin"
"P5","RJ45","TopLayer","ETHERNET_CONN","306.9760","77.7010","360","MODULAR JACK"
"P6","RJ45","TopLayer","ETHERNET_CONN","306.6160","159.0610","180","MODULAR JACK"
"R3","0R","TopLayer","0603RES","306.1160","118.2255","90","RES SMD 0.0OHM JUMPER 1/10W 0603"
"R4","1M8","TopLayer","0603RES","311.2760","98.8155","90",""
"R5","576K","TopLayer","0603RES","313.1660","98.7865","270","Res Thick Film 0603 576K Ohm 1% 0.1W(1/10W) ±100ppm/C Molded SMD Automotive Punched T/R"
"R6","10K","TopLayer","0603RES","314.6060","103.7265","270","TE CONNECTIVITY / NEOHM         CPF0603F10KC1             SMD Chip Resistor, Thin Film, 10 kohm, 50 V, 0603 [1608 Metric], 63 mW,  1%, CPF Series"
"R7","10K","TopLayer","0603RES","315.1560","136.1665","270","TE CONNECTIVITY / NEOHM         CPF0603F10KC1             SMD Chip Resistor, Thin Film, 10 kohm, 50 V, 0603 [1608 Metric], 63 mW,  1%, CPF Series"
"SW1","Tactile button","TopLayer","TACTILE_BUTTON","310.2780","105.7010","180","SWITCH TACTILE SPST-NO 0.05A 32V"
"U1","Can bus and tranciver","TopLayer","MCP25625","311.3460","117.0710","360","MICROCHIP         MCP25625-E/ML            CAN Bus, Controller with Transceiver, CAN, SPI, 3, 2, 2.7 V, 5.5 V, QFN"
"U2","TPS62125DSGR","TopLayer","WSON-VOLTAGE_REGULATOR","309.1060","95.5110","180","Voltage Regulators - Switching Regulators 3V-17V, 300mA Buck Converter"
"X1","Crystall","TopLayer","IQXC-42","302.0035","108.6685","180","IQD FREQUENCY PRODUCTS         LFXTAL059585             CRYSTAL, 20MHZ, 10PF, 2MM X 1.6MM                          New"
"R9","10K","TopLayer","0603RES","299.4160","130.9065","270","TE CONNECTIVITY / NEOHM         CPF0603F10KC1             SMD Chip Resistor, Thin Film, 10 kohm, 50 V, 0603 [1608 Metric], 63 mW,  1%, CPF Series"
"R10","120R","TopLayer","0603RES","313.4860","93.7265","270","RES SMD 120 OHM 1% 1/10W 0603"
"B1","Battery connector","TopLayer","BAT_CON","300.6808","101.9455","270","JST-PH 2-Pin SMT Right Angle Breakout Board"
"C1","10pF cap","TopLayer","0603CAP","305.1961","107.4410","180","Cap Ceramic 10pF 50V X7R 10% SMD 0603 125C T/R"
"R14","0R","TopLayer","0603RES","299.6760","126.3955","90","RES SMD 0.0OHM JUMPER 1/10W 0603"
"D1","LED diode","TopLayer","LED","299.0160","120.8010","270",""
"U4","Lora module ES0","TopLayer","LORA_MODULE_ES0","307.0985","131.7620","90","Lora Module Murata"
"P8","Solder jumper","TopLayer","SOLDER_JUMPER","280.9783","124.1660","90",""
"P7","Solder jumper","TopLayer","SOLDER_JUMPER","287.7783","111.6660","90",""
"R8","1K","TopLayer","0603RES","276.8753","122.1155","90","Thick Film Resistors - SMD CRGH0603 1% 1K0 0.2W"
"U3","TPS62125DSGR","TopLayer","WSON-Voltage_regulator","278.6452","113.6210","90","Voltage Regulators - Switching Regulators 3V-17V, 300mA Buck Converter"
"T9","Test_pad","BottomLayer","Test_Pad","287.7052","111.2710","270","Test point"
"T8","Test_pad","BottomLayer","Test_Pad","285.1653","109.9910","270","Test point"
"T7","Test_pad","BottomLayer","Test_Pad","284.2553","112.6510","270","Test point"
"R19","210K","TopLayer","0603RES","281.4208","109.4110","180","Thick Film Resistors - SMD 1/10watt 210Kohms 1%"
"R18","1M1","TopLayer","0603RES","281.4297","111.3010","360",""
"R17","0R","TopLayer","0603RES","282.7753","114.4265","270","RES SMD 0.0OHM JUMPER 1/10W 0603"
"L2","10uH","TopLayer","INDUCTOR_3.0X2.5","279.1853","118.1710","360","COILCRAFT   LPS3314-103MRB   INDUCTOR, SHLD, 10UH, 20%, 0.65A, SMD"
"C18","22uF","TopLayer","0603Cap","280.9353","114.5609","90","MURATA         ZRB18AR60J226ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 22 F, 6.3 V,  20%, X5R, ZRA Series"
"C16","10uF","TopLayer","0603Cap","276.1953","112.7109","90","MURATA         ZRB18AR61E106ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 F, 25 V,  20%, X5R, ZRA Series"
"T6","Test_pad","BottomLayer","TEST_PAD","288.1189","109.2710","270","Test point"
"T5","Test_pad","BottomLayer","TEST_PAD","281.1553","117.9210","270","Test point"
"T4","Test_pad","BottomLayer","TEST_PAD","284.0653","126.0410","270","Test point"
"T3","Test_pad","BottomLayer","TEST_PAD","281.8553","121.7210","270","Test point"
"T2","Test_pad","BottomLayer","TEST_PAD","281.9753","123.7710","270","Test point"
"T1","Test_pad","BottomLayer","TEST_PAD","283.3653","128.0910","270","Test point"
"R13","10K","TopLayer","0603RES","276.6753","141.0455","90","TE CONNECTIVITY / NEOHM         CPF0603F10KC1             SMD Chip Resistor, Thin Film, 10 kohm, 50 V, 0603 [1608 Metric], 63 mW,  1%, CPF Series"
"R12","10K","TopLayer","0603RES","278.2853","140.9555","90","TE CONNECTIVITY / NEOHM         CPF0603F10KC1             SMD Chip Resistor, Thin Film, 10 kohm, 50 V, 0603 [1608 Metric], 63 mW,  1%, CPF Series"
"R2","0R","TopLayer","0603RES","284.6553","102.3355","90","RES SMD 0.0OHM JUMPER 1/10W 0603"
"C2","10uF","TopLayer","0603CAP","286.2954","92.8710","180","MURATA         ZRB18AR61E106ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 F, 25 V,  20%, X5R, ZRA Series"
"C3","10uF","TopLayer","0603CAP","284.6251","98.5010","360","MURATA         ZRB18AR61E106ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 F, 25 V,  20%, X5R, ZRA Series"
"C4","10pF cap","TopLayer","0603CAP","275.8952","109.0409","90","Cap Ceramic 10pF 50V X7R 10% SMD 0603 125C T/R"
"C5","10uF","TopLayer","0603CAP","288.5054","110.2710","180","MURATA         ZRB18AR61E106ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 F, 25 V,  20%, X5R, ZRA Series"
"C6","0.1uF","TopLayer","0603CAP","284.3653","111.1609","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT .1uF 50Volts X7R +/-10% 0603 STD"
"C7","0.1uF","TopLayer","0603CAP","286.2052","111.1709","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT .1uF 50Volts X7R +/-10% 0603 STD"
"C8","10uF","TopLayer","0603CAP","280.6053","121.8711","270","MURATA         ZRB18AR61E106ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 F, 25 V,  20%, X5R, ZRA Series"
"C9","1uF","TopLayer","0603CAP","278.8053","121.8711","270","1µF 50V Ceramic Capacitor X5R 0603 (1608 Metric) 0.063" L x 0.031" W (1.60mm x 0.80mm)"
