Altium Designer Pick and Place Locations
C:\Users\CvejaBog\Desktop\praksa\lora feather_ver0.2\lora feather\PCB_Project\Project Outputs for PCB_Project\Pick Place\Pick Place for Lora_feather.csv

========================================================================================================================
File Design Information:

Date:       27/08/18
Time:       12:07
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D1","LED diode","TopLayer","LED","107.700","113.730","180",""
"R14","0R","TopLayer","0603RES","113.084","113.370","0","RES SMD 0.0OHM JUMPER 1/10W 0603"
"C1","10pF cap","TopLayer","0603CAP","94.180","107.640","90","Cap Ceramic 10pF 50V X7R 10% SMD 0603 125C T/R"
"B1","Battery connector","TopLayer","BAT_CON","88.475","112.135","180","JST-PH 2-Pin SMT Right Angle Breakout Board"
"R10","120R","TopLayer","0603RES","80.826","98.700","180","RES SMD 120 OHM 1% 1/10W 0603"
"R9","10K","TopLayer","0603RES","117.426","113.380","180","TE CONNECTIVITY / NEOHM         CPF0603F10KC1             SMD Chip Resistor, Thin Film, 10 kohm, 50 V, 0603 [1608 Metric], 63 mW,  1%, CPF Series"
"X1","Crystall","TopLayer","IQXC-42","95.198","110.813","90","IQD FREQUENCY PRODUCTS         LFXTAL059585             CRYSTAL, 20MHZ, 10PF, 2MM X 1.6MM                          New"
"U2","TPS62125DSGR","TopLayer","WSON-VOLTAGE_REGULATOR","82.040","103.710","90","Voltage Regulators - Switching Regulators 3V-17V, 300mA Buck Converter"
"U1","Can bus and tranciver","TopLayer","MCP25625","103.600","101.470","270","MICROCHIP         MCP25625-E/ML            CAN Bus, Controller with Transceiver, CAN, SPI, 3, 2, 2.7 V, 5.5 V, QFN"
"SW1","Tactile button","TopLayer","TACTILE_BUTTON","92.230","102.538","90","SWITCH TACTILE SPST-NO 0.05A 32V"
"R7","10K","TopLayer","0603RES","122.656","97.830","180","TE CONNECTIVITY / NEOHM         CPF0603F10KC1             SMD Chip Resistor, Thin Film, 10 kohm, 50 V, 0603 [1608 Metric], 63 mW,  1%, CPF Series"
"R6","10K","TopLayer","0603RES","90.146","98.030","180","TE CONNECTIVITY / NEOHM         CPF0603F10KC1             SMD Chip Resistor, Thin Film, 10 kohm, 50 V, 0603 [1608 Metric], 63 mW,  1%, CPF Series"
"R5","576K","TopLayer","0603RES","85.326","99.320","180","Res Thick Film 0603 576K Ohm 1% 0.1W(1/10W) ±100ppm/C Molded SMD Automotive Punched T/R"
"R4","1M8","TopLayer","0603RES","85.374","101.270","360",""
"R3","0R","TopLayer","0603RES","104.854","106.560","360","RES SMD 0.0OHM JUMPER 1/10W 0603"
"R1","0R","TopLayer","0603RES","81.044","110.560","360","RES SMD 0.0OHM JUMPER 1/10W 0603"
"P6","RJ45","TopLayer","ETHERNET_CONN","145.590","106.200","90","MODULAR JACK"
"P5","RJ45","TopLayer","ETHERNET_CONN","64.230","105.840","270","MODULAR JACK"
"P4","Header 8","TopLayer","HDR1X8","134.850","105.970","90","Header, 8-Pin"
"P3","Header 8","TopLayer","HDR1X8","75.640","105.710","90","Header, 8-Pin"
"P2","Header 16","TopLayer","HDR1X16","104.140","95.631","180","Header, 16-Pin"
"P1","Header 12","TopLayer","HDR1X12","109.220","115.850","360","Header, 12-Pin"
"MOD1","LORA Module Murata","TopLayer","LORA_MODULE_ES0","118.281","105.698","360","LRA Module ES0"
"L1","15uH","TopLayer","INDUCTOR_3.0X2.5","81.170","107.660","360","Fixed Inductors 15uH 0.28ohms 0.56A"
"CON1","antena connector","TopLayer","UFL_SMD_CONNECTOR","130.860","99.663","360","CONN UMC JACK STR 50 OHM SMD"
"C17","10uF","TopLayer","0603CAP","94.990","101.850","90","MURATA         ZRB18AR61E106ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 F, 25 V,  20%, X5R, ZRA Series"
"C15","0.1uF","TopLayer","0603CAP","89.560","100.750","90","Multilayer Ceramic Capacitors MLCC - SMD/SMT .1uF 50Volts X7R +/-10% 0603 STD"
"C14","NF","TopLayer","0402CAP","130.790","102.945","270",""
"C13","NF","TopLayer","0402CAP","126.000","102.885","270",""
"C12","100pF","TopLayer","0402CAP","128.385","102.070","360","MULTICOMP         MC0402B101K500CT            SMD Multilayer Ceramic Capacitor, MC Series, 100 pF,  10%, X7R, 50 V, 0402 [1005 Metric]"
"C11","1uF","TopLayer","0603CAP","127.450","106.890","180","1µF 50V Ceramic Capacitor X5R 0603 (1608 Metric) 0.063" L x 0.031" W (1.60mm x 0.80mm)"
"C10","0.1uF","TopLayer","0603CAP","109.200","106.560","360","Multilayer Ceramic Capacitors MLCC - SMD/SMT .1uF 50Volts X7R +/-10% 0603 STD"
"C9","1uF","TopLayer","0603CAP","109.200","110.360","180","1µF 50V Ceramic Capacitor X5R 0603 (1608 Metric) 0.063" L x 0.031" W (1.60mm x 0.80mm)"
"C8","10uF","TopLayer","0603CAP","109.230","108.430","180","MURATA         ZRB18AR61E106ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 F, 25 V,  20%, X5R, ZRA Series"
"C7","0.1uF","TopLayer","0603CAP","97.690","102.920","360","Multilayer Ceramic Capacitors MLCC - SMD/SMT .1uF 50Volts X7R +/-10% 0603 STD"
"C6","0.1uF","TopLayer","0603CAP","97.690","104.740","360","Multilayer Ceramic Capacitors MLCC - SMD/SMT .1uF 50Volts X7R +/-10% 0603 STD"
"C5","10uF","TopLayer","0603CAP","97.650","101.100","180","MURATA         ZRB18AR61E106ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 F, 25 V,  20%, X5R, ZRA Series"
"C4","10pF cap","TopLayer","0603CAP","95.570","113.210","360","Cap Ceramic 10pF 50V X7R 10% SMD 0603 125C T/R"
"C3","10uF","TopLayer","0603CAP","85.030","104.480","270","MURATA         ZRB18AR61E106ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 F, 25 V,  20%, X5R, ZRA Series"
"C2","10uF","TopLayer","0603CAP","79.400","102.810","90","MURATA         ZRB18AR61E106ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 F, 25 V,  20%, X5R, ZRA Series"
"R2","0R","TopLayer","0603RES","88.844","104.410","0","RES SMD 0.0OHM JUMPER 1/10W 0603"
"R12","10K","TopLayer","0603RES","127.494","110.660","0","TE CONNECTIVITY / NEOHM         CPF0603F10KC1             SMD Chip Resistor, Thin Film, 10 kohm, 50 V, 0603 [1608 Metric], 63 mW,  1%, CPF Series"
"R13","10K","TopLayer","0603RES","127.534","112.540","0","TE CONNECTIVITY / NEOHM         CPF0603F10KC1             SMD Chip Resistor, Thin Film, 10 kohm, 50 V, 0603 [1608 Metric], 63 mW,  1%, CPF Series"
"T1","Test_pad","BottomLayer","TEST_PAD","114.300","105.910","180","Test point"
"T2","Test_pad","BottomLayer","TEST_PAD","110.530","107.120","180","Test point"
"T3","Test_pad","BottomLayer","TEST_PAD","108.250","107.250","180","Test point"
"T4","Test_pad","BottomLayer","TEST_PAD","112.330","105.010","180","Test point"
"T5","Test_pad","BottomLayer","TEST_PAD","104.450","107.950","180","Test point"
"T6","Test_pad","BottomLayer","TEST_PAD","95.800","100.986","180","Test point"
"C16","10uF","TopLayer","0603Cap","99.240","112.910","360","MURATA         ZRB18AR61E106ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 F, 25 V,  20%, X5R, ZRA Series"
"C18","22uF","TopLayer","0603Cap","101.090","108.170","360","MURATA         ZRB18AR60J226ME01L             SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 22 F, 6.3 V,  20%, X5R, ZRA Series"
"L2","10uH","TopLayer","INDUCTOR_3.0X2.5","104.700","109.920","270","COILCRAFT   LPS3314-103MRB   INDUCTOR, SHLD, 10UH, 20%, 0.65A, SMD"
"R16","0R","TopLayer","0603Res","103.164","113.170","360","RES SMD 0.0OHM JUMPER 1/10W 0603"
"R17","0R","TopLayer","0603Res","100.916","106.030","180","RES SMD 0.0OHM JUMPER 1/10W 0603"
"R18","1M1","TopLayer","0603Res","98.010","107.556","270",""
"R19","210K","TopLayer","0603Res","96.140","107.594","90","Thick Film Resistors - SMD 1/10watt 210Kohms 1%"
"T7","Test_pad","BottomLayer","Test_Pad","99.180","104.850","180","Test point"
"T8","Test_pad","BottomLayer","Test_Pad","96.520","103.940","180","Test point"
"T9","Test_pad","BottomLayer","Test_Pad","97.970","101.610","180","Test point"
"U3","TPS62125DSGR","TopLayer","WSON-Voltage_regulator","100.150","110.460","360","Voltage Regulators - Switching Regulators 3V-17V, 300mA Buck Converter"
